target_account,matched_customer,status
Mahindra & Mahindra,Mahindra Logistics,FLAGGED - EXISTING CUSTOMER
Hindalco Industries,HINDALCO INDUSTRIES LTD,FLAGGED - EXISTING CUSTOMER
Hindustan Unilever,Linclimited,FLAGGED - EXISTING CUSTOMER
Vedanta Aluminium,Vedanta,FLAGGED - EXISTING CUSTOMER
Tata Motors,AMW Motors,FLAGGED - EXISTING CUSTOMER
Coal India Ltd,Jindal Power Limited -Mines Coal Tracing,FLAGGED - EXISTING CUSTOMER
IOCL Petrochemicals,Haldia Petrochemicals,FLAGGED - EXISTING CUSTOMER
HPCL,P,FLAGGED - EXISTING CUSTOMER
Reliance Industries,Campa Cola Beverages - Reliance Industries Limited (RIL),FLAGGED - EXISTING CUSTOMER
Nestle India,Nestlé,FLAGGED - EXISTING CUSTOMER
Amul (GCMMF),Amul Industries Pvt,FLAGGED - EXISTING CUSTOMER
Maruti Suzuki,Maruti Suzuki India Ltd.,FLAGGED - EXISTING CUSTOMER
SAIL,Shaily,FLAGGED - EXISTING CUSTOMER
BPCL,BFCL,FLAGGED - EXISTING CUSTOMER
Motherson Sumi,Motherson Sumi Systems Limited,FLAGGED - EXISTING CUSTOMER
FCI (Food Corporation),Food Corporation of India,FLAGGED - EXISTING CUSTOMER
Ashok Leyland,Linclimited,FLAGGED - EXISTING CUSTOMER
Vedanta Resources (Holding),Vedanta,FLAGGED - EXISTING CUSTOMER
Vedanta Ltd,Vedanta,FLAGGED - EXISTING CUSTOMER
Berger Paints,P,FLAGGED - EXISTING CUSTOMER
Britannia Industries,BRITANNIA INDUSTRIES LIMITED,FLAGGED - EXISTING CUSTOMER
GAIL India,Linclimited,FLAGGED - EXISTING CUSTOMER
Polycab India,Polycab India Limited - Spot Auction,FLAGGED - EXISTING CUSTOMER
UPL Ltd,URCPL,FLAGGED - EXISTING CUSTOMER
ITC Ltd (FMCG),FMC India,FLAGGED - EXISTING CUSTOMER
SRF Ltd,SRF,FLAGGED - EXISTING CUSTOMER
Adani Wilmar,Linclimited,FLAGGED - EXISTING CUSTOMER
Asian Paints,P,FLAGGED - EXISTING CUSTOMER
Tata Steel Ltd,Tata Tea Limited,FLAGGED - EXISTING CUSTOMER
